State,0,1,2,3,4,5
g001012121b00b00b00b00b00b00b00b00b00ex000ey000,-2.9792280646293117,-2.630190696121717,-2.0526430855117344,0.09374051251977542,-2.5302228246892065,-3.547151767086346
g001010101b00b00b00b00b00b00b00b00b00ex000ey000,0.43624606326349447,0.43691456823184466,0.43198619514502246,0.4364579415153322,0.43703612942303005,1.138143318559399
g301010101b11b00b00b00b00b00b00b00b00ex000ey000,-4.271546210190548,-1.6030279874980786,-3.6467026789243846,-3.5481187708202135,-2.208349011231412,-3.379836257342996
g301010101b12b00b00b00b00b00b00b00b00ex000ey000,-34.18686758999772,-22.466518897209205,-41.40208695128554,-33.82651989285241,-33.52663257474306,-68.15921526088951
g301010101b13b00b00b00b00b00b00b00b00ex000ey000,-586.2544057236323,-366.91326051971043,-599.0673888605844,-599.7503363663329,-625.0872520155656,-597.1106064592865
g301012121b11b00b00b00b00b00b00b00b00ex000ey000,-11.829291762075906,-15.224873136343255,-12.920189819723298,-10.132543888731908,-14.046406901712974,-11.748478462262202
g023110121b00b00b11b00b00b00b00b00b00ex000ey000,-10.777221189602654,-9.985194265446024,-10.548959608158551,-10.920986655665512,-10.614660596127788,-10.817402513753084
g023110121b00b00b12b00b00b00b00b00b00ex000ey000,-162.10979479625507,-162.80993230458353,-162.53057699540568,-253.76679918697383,-162.3462060650553,-162.5153291383972
g023110121b00b00b13b00b00b00b00b00b00ex000ey000,-1442.7426755341874,-1182.9221805347013,-1179.3283766026511,-1185.5930086367775,-1182.9287614347277,-1180.4652187175825
g001010121b00b00b00b00b00b00b00b00b00ex000ey000,-1.070385125502967,23.04544912139084,-1.0667565328435136,6.828052608654381,-1.0712084506064967,-0.9182190310081182
g011200121b00b00b00b00b00b00b00b00b00ex000ey000,-299.6649093191923,0.5516348594109077,3.5961789570574463,4.694220097547526,0.9272228300955737,0.7051412702456665
g311200121b11b00b00b00b00b00b00b00b00ex000ey000,0.773444172223509,0.09690305616448858,0.8556426338928587,0.6053339521421627,0.1414865642553994,0.8832669181200936
g311200121b12b00b00b00b00b00b00b00b00ex000ey000,0.7161926531595479,0.6222381201238301,0.5613033681831693,0.17081845801540163,9.815112268464668,0.45468214162887977
g311200121b13b00b00b00b00b00b00b00b00ex000ey000,0.9487296076001341,0.3987804585834289,0.5389691208602407,0.6698931257858809,0.5282977452435043,0.8238895308391196
g001310121b00b00b00b13b00b00b00b00b00ex000ey000,-299.34034206329903,-299.88729063119246,0.025750329085994617,-47.48167410792419,-299.6509728183859,-299.14468717523874
g023112121b00b00b11b00b00b00b00b00b00ex000ey000,-67.07918964542232,-47.954534343592215,-78.5582197576843,-48.63832741236586,-48.253850545125104,-49.29264518570555
g023112121b00b00b12b00b00b00b00b00b00ex000ey000,-512.2079090646635,-503.67467826952264,-511.9840629078835,-377.7300340909073,-505.90654033199365,-489.68130844850634
g023112121b00b00b13b00b00b00b00b00b00ex000ey000,-1761.8238076250555,-1998.2906169524656,-2038.4729375315674,-2025.8906766978798,-2052.7563578184336,-2030.575358928021
g023110101b00b00b11b00b00b00b00b00b00ex000ey000,-10.44165943748876,-10.540831369941834,-9.36974098375594,-10.4848767919584,-18.087925187633324,-10.254268296317957
g023110101b00b00b12b00b00b00b00b00b00ex000ey000,-162.1019197813938,-162.5657942559091,-162.5048266911125,-251.83623110177973,-259.25905638834627,-162.47307055910304
g023110101b00b00b13b00b00b00b00b00b00ex000ey000,-1183.6736240422263,-1181.8324059103766,-1473.2723306825749,-1186.420112243738,-1181.7721479013042,-1464.646032421657
g001012101b00b00b00b00b00b00b00b00b00ex000ey000,-4.70304050670908,-4.702935868671984,-4.703450661199784,-4.703272610711488,-4.703235971633951,-6.457834903250185
g301012101b11b00b00b00b00b00b00b00b00ex000ey000,-22.943466201092946,-14.585365221515717,-17.92719070807196,-19.291839821096215,-15.534013950539455,-18.39942007123321
g301012101b12b00b00b00b00b00b00b00b00ex000ey000,-207.11930955035078,-180.4884783867383,-146.94230358775314,-171.86013629476457,-154.86161001725424,-162.663220780253
g301012101b13b00b00b00b00b00b00b00b00ex000ey000,-1177.2721371617135,-1105.5792957477759,-1155.5618217119327,-896.2415444585234,-1190.4487239753148,-1183.576975434381
g011032121b00b00b00b00b11b00b00b00b00ex000ey000,-5.218490852381065,-4.834235889295765,-5.2421490101475525,-5.2682311912796225,-4.8422518879528065,-5.360278460790584
g011032121b00b00b00b00b12b00b00b00b00ex000ey000,-45.50621740872482,-25.53593874118976,-58.46364676069708,-55.466135023673814,-47.91473237313055,-51.55272581772422
g011032121b00b00b00b00b13b00b00b00b00ex000ey000,-598.006933563347,-160.28452322607876,-598.6420206341315,-599.3310014289284,-597.4421211309259,-595.9317184164527
g023112101b00b00b11b00b00b00b00b00b00ex000ey000,-10.606796839326407,-10.517300651777578,-10.930520471240783,-10.895054275903277,-10.564383674205997,-23.503469992589828
g023112101b00b00b12b00b00b00b00b00b00ex000ey000,-162.1696063420656,-162.736182313578,-240.1698899714699,-162.1901119212592,-163.09597407501948,-242.91378918048386
g023112101b00b00b13b00b00b00b00b00b00ex000ey000,-1182.8430075695428,-1445.187480337006,-1188.1486954998745,-1179.9939130428206,-1187.278675923255,-1467.1589257348733
g301010121b11b00b00b00b00b00b00b00b00ex000ey000,-4.010891920822589,-2.836166897023195,-6.089132394890721,-1.6685154269177367,-6.1090342282591035,-5.403549877914777
g011232121b00b00b00b00b11b00b00b00b00ex000ey000,-46.16350999216335,-46.066670997514066,-45.47832772194033,-46.55447578471021,-63.69291938053277,-40.36606564498356
g011232121b00b00b00b00b12b00b00b00b00ex000ey000,-496.8389655435028,-374.7229180741343,-504.72069075003174,-377.3218276136537,-374.37642218231065,-481.2703100816607
g011232121b00b00b00b00b13b00b00b00b00ex000ey000,-2040.1272276586587,-2037.9779374197572,-2012.8701218735632,-1763.5201956605144,-1757.5555991590718,-2043.330951386523
g011230101b00b00b00b00b11b00b00b00b00ex000ey000,-2.3310418831794255,-2.550812889030591,-2.3866231222290093,0.34695560734329733,-2.3009502381386944,-2.2551212757848282
