State,0,1,2,3,4,5
g001010101b00b00b00b00b00b00b00b00b00ex000ey000,-317.0928072939777,-338.9704756570563,-337.56715494051474,-338.5236940014171,-325.0654039714063,-141.80134290921603
g301010101b11b00b00b00b00b00b00b00b00ex000ey000,-167.5785842841455,-159.22748993111693,-168.59807768516632,-310.8843226869329,-182.92158602983477,-167.80338103796836
g301010101b12b00b00b00b00b00b00b00b00ex000ey000,-276.6109107588417,-525.8036678244001,-263.7973474868244,-278.74515830567265,-402.29347713477114,-258.2631669826488
g301010101b13b00b00b00b00b00b00b00b00ex000ey000,-3279.0920445293623,-2998.095312506797,-3288.769582003488,-3258.482396043875,-3292.462855973373,-3288.972432715601
g001310101b00b00b00b11b00b00b00b00b00ex000ey000,-64.29057352160471,-64.26869644256668,-64.4321880660075,-64.26218323645232,-64.28445310948814,-64.289836497372
g001310101b00b00b00b12b00b00b00b00b00ex000ey000,-81.57971838771061,-100.56646925902231,-81.3216914074091,-87.36238109401874,-81.88111027398118,-82.15731461100799
g001310101b00b00b00b13b00b00b00b00b00ex000ey000,-2397.890339853175,-2397.417498088041,-2394.865706775278,-2676.2311931861404,-2397.3707651216,-2398.966452527532
g011030121b00b00b00b00b11b00b00b00b00ex000ey000,-185.8330434758356,-169.53350363120128,-185.19994105099423,-183.97880560108857,-184.25073930004885,-183.53186501950836
g011030121b00b00b00b00b12b00b00b00b00ex000ey000,-609.8128014762055,-418.9994920252098,-544.1557249838534,-443.54311922780823,-452.7935531220982,-457.6951103746169
g011030121b00b00b00b00b13b00b00b00b00ex000ey000,-3588.0024044305546,-3689.9809536058365,-3529.3641035471205,-3584.9133585672325,-3588.395286286378,-3588.823416968114
g001200123b00b00b00b00b00b00b00b00b13ex000ey000,-299.36150866570955,-42.541233942079316,-42.634331931150044,-42.56726364997417,-42.73134211323119,-42.698992456905955
g001200120b00b00b00b00b00b00b00b00b00ex000ey000,-2399.925415586643,-61.51820203799575,-60.85265534933822,-60.860241138837495,-60.854193730910644,-58.50850983785952
g301200120b11b00b00b00b00b00b00b00b00ex000ey000,-1097.4053230598238,-77.89738118868817,-91.68126269068696,-61.83510091581609,-78.32654477684326,-97.11784616280562
g003112120b00b00b11b00b00b00b00b00b00ex000ey000,-69.87465705962813,-69.022281064268,-84.14511435270538,-51.663092484742364,-68.58367545309723,-68.3642651966538
g003112120b00b00b12b00b00b00b00b00b00ex000ey000,-258.49413419373445,-251.90258855045528,-257.45657147165025,-462.70525064060087,-234.97411789272607,-266.901117254062
g003112120b00b00b13b00b00b00b00b00b00ex000ey000,-3571.524647709043,-3567.2920975076836,-3591.03970345623,-3332.3962543111984,-3591.4573361979005,-3593.216795655439
g003112101b00b00b11b00b00b00b00b00b00ex000ey000,-52.065490599054,-52.06373639227875,-52.06404827282567,-52.07544366563056,-51.86929952097687,-52.051993964685096
g003112101b00b00b12b00b00b00b00b00b00ex000ey000,-86.59267370977805,-81.34358072665839,-63.72289281632625,-66.16087866987361,-73.21140230715383,-67.31837152495672
g020012301b00b00b00b00b00b00b12b00b00ex000ey000,-0.9663051205762723,-0.9809905201898744,-5.365279872498099,-0.9956460198722955,-0.9797746106905001,-0.9709585124216856
g003112101b00b00b13b00b00b00b00b00b00ex000ey000,-2694.2029926140576,-2397.0585301352517,-2694.974104171624,-2580.5034939458596,-2695.4311031377574,-2692.4452345212267
g020012301b00b00b00b00b00b00b13b00b00ex000ey000,-1.146887713238195,-0.9711423899747513,-5.59827568166899,-0.9601179098752852,-1.0187932755119853,-1.040082766204322
g020012001b00b00b00b00b00b00b00b00b00ex000ey000,-254.99678931853245,-554.987105500011,-255.34254095408738,-414.13942203072884,-389.9980880664722,-255.7519638860001
g320012001b11b00b00b00b00b00b00b00b00ex000ey000,-619.9425094584724,-592.8945016044759,-362.6166262658329,-545.612859185401,-634.9314831944225,-544.6595246472493
g001200123b00b00b00b00b00b00b00b00b11ex000ey000,-161.79545999286634,-161.6699130267005,-161.6788057932221,-145.84003767852198,-161.67993604088397,-161.66790675896803
g001200123b00b00b00b00b00b00b00b00b12ex000ey000,-313.1795266174798,-27.87868284598604,-27.873402538198825,-28.054792717475742,-27.948698845940243,-27.90117164230553
g301200120b12b00b00b00b00b00b00b00b00ex000ey000,-299.12120720785657,-342.37808515754625,-188.0470216657748,-181.55715167787153,-180.10523176803548,-196.55286875530453
g301200120b13b00b00b00b00b00b00b00b00ex000ey000,-2510.1416745761326,-2695.487426852943,-2696.0588570942627,-2706.0597246274488,-2693.9659735058276,-2697.451764142667
g020202020b00b00b00b00b00b00b00b00b00ex000ey000,-14.896091335952931,-14.588523668407106,-600.62757301277,-14.581520154593944,-14.586787239464906,-14.793525301442159
g011002021b00b00b00b00b00b00b00b00b00ex000ey000,-277.0732914400117,-341.7847764830675,-614.9409423189521,-638.7838476610299,-349.2362154351866,-93.2127762669632
g020312001b00b00b00b11b00b00b00b00b00ex000ey000,-17.099489670026937,-17.143902260192554,-599.6411409681268,-17.10386022225148,-17.06296444862973,-17.09856029783528
g311002021b11b00b00b00b00b00b00b00b00ex000ey000,-4.296568969933614,-4.320656856637199,-4.295157317819731,-304.2885101851837,-304.22271732150824,-4.303832641417083
g000112101b00b00b00b00b00b00b00b00b00ex000ey000,-316.88493279608167,-42.572694167863716,-295.6356887291594,-41.54969965112687,-331.5981796688262,-34.52586141492464
g300112101b11b00b00b00b00b00b00b00b00ex000ey000,-292.36601159711375,-6.890842896072744,-303.35752526669097,-6.826466078143873,-301.09166772994615,-6.878615185958484
g031010101b00b11b00b00b00b00b00b00b00ex000ey000,-300.4758907169285,-302.4821880190623,-21.889291637217383,-22.034115271210634,-302.49369051895906,-22.041954354443657
g300112101b12b00b00b00b00b00b00b00b00ex000ey000,0.35892674056919727,0.3226688207921189,0.36011704705398856,-2.617065822071152,0.07227973484390471,0.3488302852538639
g300112101b13b00b00b00b00b00b00b00b00ex000ey000,-299.6381319391872,-599.1155520446473,-299.54566976438906,-299.82861714887736,-299.92184366056716,-299.33743916452795
g023012001b00b00b13b00b00b00b00b00b00ex000ey000,0.5880464279504538,0.7550889258541301,0.5314696301066307,0.7501998042159487,0.7948043484097346,0.21763225016709542
g011000121b00b00b00b00b00b00b00b00b00ex000ey000,-35.20667569855948,-38.971156886685954,-34.06002676622054,-333.36202516391654,-34.05640493467641,-34.20690378601432
g311000121b11b00b00b00b00b00b00b00b00ex000ey000,-62.79780390918712,-57.15574091843213,-62.81246582308848,-62.82397453136703,-62.829308108730935,-62.829556564706856
g020202320b00b00b00b00b00b00b13b00b00ex000ey000,-0.32665651379169747,0.02544859877242356,-299.5517388219478,0.7436757649484926,55.182193844874114,0.5462611134151402
g320202020b11b00b00b00b00b00b00b00b00ex000ey000,-33.495733998761786,-33.06665122579329,-1199.4270750756393,-33.045191364388096,-33.06349813138406,-33.0363596124054
g011302021b00b00b00b11b00b00b00b00b00ex000ey000,-84.80625846600329,-84.80917481842224,-594.3207800414532,-303.5691586173438,-313.6013472803485,-84.82361482418668
g020012031b00b00b00b00b00b00b00b11b00ex000ey000,-82.46958332460059,-82.43770071555315,-81.99500024085091,-82.47081369377422,-350.1586290072912,-82.43805752108132
g020012031b00b00b00b00b00b00b00b12b00ex000ey000,0.09262198896587193,0.26252244539433583,0.2875116523936283,1.193980856260112,0.22496426798040786,23.75549357519311
g011302021b00b00b00b12b00b00b00b00b00ex000ey000,7.93670014733427,0.2761757949698639,0.2796931179964484,0.2581797908841527,0.10120748876849339,0.29348979020500154
g011302021b00b00b00b13b00b00b00b00b00ex000ey000,1.1197502588155093,-299.1870745422642,0.12607305934271348,0.01399541108584279,-299.5345569013606,0.08826985156778488
g011300121b00b00b00b13b00b00b00b00b00ex000ey000,-595.258977434055,-599.1066789956872,-638.9552263242193,-610.6231745850419,-640.1758633527281,-599.7911504455683
g020012301b00b00b00b00b00b00b11b00b00ex000ey000,-48.658209049137,-48.69641781151933,-48.50765379825408,-48.72311911885886,-48.689206744687496,-48.658991684863885
g020312001b00b00b00b12b00b00b00b00b00ex000ey000,-13.970555429779163,-8.783715405152233,-299.9703644478909,-308.66824247265725,-13.835428460365577,-13.889914266730829
g020312001b00b00b00b13b00b00b00b00b00ex000ey000,-599.1633542005404,-600.1554675078812,-522.215956248815,-599.9294231807132,-599.6668447692929,-600.4118784923876
g320012001b12b00b00b00b00b00b00b00b00ex000ey000,-702.0405751644516,-730.9536597649567,-666.7334930021601,-738.1459663013751,-705.050787317911,-729.9983389872623
g011032021b00b00b00b00b12b00b00b00b00ex000ey000,0.217998032576735,0.09688935109584229,-2.754258174287962,-2.7384581851340437,-2.720309097354864,-2.6558286378172773
g011032021b00b00b00b00b13b00b00b00b00ex000ey000,-600.0879882614859,-599.9680287758393,-599.4091043586611,-599.2028423479223,-600.1019907738321,-599.8349596722267
g320012001b13b00b00b00b00b00b00b00b00ex000ey000,-5384.8247014217495,-5536.9189633248,-5426.08988693402,-5678.902320755742,-5645.456073508757,-5381.289590440118
g030112101b00b13b00b00b00b00b00b00b00ex000ey000,-2767.588214396218,-2831.232486431779,-2859.729377695434,-2991.6498251024514,-3061.5082200378624,-2994.656965487944
g011032021b00b00b00b00b11b00b00b00b00ex000ey000,-1.6009402821979772,-1.6339913959669767,-1.609843045199417,-1.6360211259608508,-1.641707891197682,-1.6287489770544425
g020012031b00b00b00b00b00b00b00b13b00ex000ey000,-2.6410801113453566,-299.27417416781725,-299.75726706543816,-295.6872266872531,-2.932093588611939,-2.629667888979436
g311002021b12b00b00b00b00b00b00b00b00ex000ey000,0.17104127067047026,0.19041771174342362,0.1519559538160136,0.19446051970232886,0.20715536509636395,0.18157948752447203
g311002021b13b00b00b00b00b00b00b00b00ex000ey000,-8.030654267378251,-299.91430037198796,-299.6682531396678,-299.639652741804,-299.72644855395606,-300.1087481420343
g001013101b00b00b00b00b00b13b00b00b00ex000ey000,-300.123193155494,-299.22542411398706,-14.126118403001348,-299.41853357009563,-299.25621502824066,-14.392979066467518
