circle_5_10,0,1,2,3,4,5
0013100030100-01+03,-6.168,-6.213,-12.213,-11.883,0.0,0.0
0131000301012-01+02,-6.332,0.0,0.0,0.0,0.0,0.0
0161000301012-01+02,-6.457,0.0,0.0,0.0,0.0,0.0
0016100030100-01+03,-6.517,-6.575,0.0,0.0,0.0,0.0
0016100060100-01+03,-6.603,-6.666,0.0,0.0,0.0,0.0
0017100760100-01+03,-6.621,0.0,0.0,0.0,0.0,0.0
0131110001010-01+02,-7.117,-7.146,-33.77,-7.074,-67.898,-14.487
3100110101001-01+02,-7.22,3.137,0.0,0.0,0.0,0.0
3100110101001+00+02,-7.252,-7.281,-7.491,-7.523,-36.674,-69.196
0101110021111-01+02,-7.597,-15.202,-7.846,-6.746,-11.465,-12.24
0131110001010+01+02,-7.597,-11.298,-19.804,-9.754,-28.65,-6.292
0161110001010+01+02,-7.628,-12.415,-22.734,-44.078,-12.827,-12.471
6100110101001+00+02,-11.28,-14.982,-15.599,-15.662,-13.275,-11.675
0010100201111-01+01,-7.925,-1.478,-1.55,0.0,0.0,0.0
7171110021111-01+02,-7.938,-6.541,-6.573,-7.97,0.0,0.0
7170117101001+00+02,-3.05,0.0,0.0,0.0,0.0,0.0
0021010110311+01-02,-7.247,-11.582,-16.18,-13.859,-52.686,-5.909
0021010110311+00-02,-7.278,0.0,0.0,0.0,0.0,0.0
0021010110311-01-02,-7.309,-8.114,0.0,0.0,0.0,0.0
0021010110311-01-01,-7.342,-7.374,0.0,0.0,0.0,0.0
0321010110311-01-01,-7.407,0.0,0.0,0.0,0.0,0.0
0321010110311-01-02,-7.441,-7.19,0.0,0.0,0.0,0.0
0321010110311+00-02,-7.471,-7.506,-7.535,-7.569,-22.459,0.0
0321010110611+00-02,-15.723,-15.789,-15.854,-7.926,-7.957,-8.037
0621010110611+00-02,-8.118,0.0,0.0,0.0,0.0,0.0
0621017117711+00-02,-3.05,0.0,0.0,0.0,0.0,0.0
1031210112010+02-04,-32.585,-20.065,-17.041,-20.709,-46.181,-50.101
3101220111010+02-04,-0.899,-8.341,0.0,0.0,0.0,0.0
1031210112010+03-03,-48.665,-15.22,-18.249,-31.87,-15.043,-52.438
6101220111010+02-03,-0.544,-0.688,-8.431,-15.513,-37.227,-45.645
7201210110011+01-03,-0.424,-7.861,0.0,-0.416,0.0,0.0
7171220111010+02-03,-0.415,-0.388,-7.938,-7.97,-30.987,0.0
1001210112310+02-04,-14.122,-17.601,-14.09,-6.945,-35.87,-44.856
1111000111013+03-04,-3.118,-8.78,-3.281,0.726,-48.432,-59.488
1111000001212+03-02,-28.747,-20.906,-15.034,-31.063,-30.166,-14.654
1111000001212+02-02,-15.06,-8.377,-8.638,-10.276,-7.664,-7.247
1111116001610+03+00,-7.721,-7.753,-7.781,-5.956,-17.722,-33.749
1111160006122+03-01,-8.019,-5.896,-13.405,-5.908,-17.577,-28.425
1111600001212+03-02,-7.939,-5.45,-5.461,-6.278,-34.724,-29.991
1001210110310+03-03,-0.722,-6.863,-6.883,-0.688,-10.703,-5.576
1111200111013+04-03,-0.713,-1.407,-6.341,-6.371,-54.809,-47.898
1111020012177+04-02,-0.689,-0.689,0.0,0.0,0.0,0.0
1111020012177+04-03,-3.774,0.0,0.0,0.0,0.0,0.0
1111020012177+03-03,-5.584,-5.613,-0.92,-6.674,-13.055,0.0
1001210110310+00-04,-6.998,-7.021,-7.057,-35.117,-17.621,-22.497
1111200111016+01-04,-7.752,-13.373,-5.161,-5.17,-20.458,-16.887
1111620012100+01-03,-7.829,-7.862,-7.893,-41.954,-33.013,-1.512
1001210110610+00-04,-8.054,-6.12,-6.136,-6.15,0.0,0.0
1001210110610+01-04,-8.086,4.044,4.131,4.219,0.0,0.0
1001210110610+01-03,-8.118,0.0,0.0,0.0,0.0,0.0
1001217117717+01-03,-3.05,-3.0,-3.05,0.0,0.0,0.0
0221213110011-03-01,-17.934,-16.928,-17.145,-15.757,-15.799,-20.071
0221213110011-03+00,-9.845,-15.229,-9.334,-7.559,-17.371,-14.424
2217000711111-03+01,-0.571,-0.689,-7.92,-6.39,0.0,0.0
2121003001111-01+02,-0.702,-6.55,-6.574,-4.203,-5.429,0.0
0012100301111-01+03,-1.844,-4.304,-4.306,-4.315,-27.124,-5.612
0100110171071-03+04,-0.9,-7.782,-5.747,-8.619,-2.771,0.0
0101113021010-02+00,-6.94,-6.22,-5.765,-7.225,-12.328,-7.605
0101113021010-01+00,-0.774,-0.744,-5.452,-27.181,-2.815,-21.007
3130110101001-03+02,-0.668,0.0,0.0,0.0,0.0,0.0
3130110101001-03+03,-0.638,0.0,0.0,0.0,0.0,0.0
3130110101001-03+04,-0.609,0.0,0.0,0.0,0.0,0.0
3130110101001-02+04,0.0,0.0,0.0,0.0,0.0,-0.578
3130110101001-01+04,-0.582,0.0,0.0,0.0,0.0,0.0
3130110101001+00+04,-0.545,0.0,0.0,0.0,0.0,0.0
3130110101001+01+04,-0.517,-0.478,0.0,0.0,0.0,0.0
3160110101001+01+02,-0.451,-0.416,0.0,0.0,0.0,0.0
7171110001111-01+02,-0.31,-0.267,-3.539,-7.97,-3.788,-2.614
2131000061111+00+01,0.0,0.0,0.0,0.0,0.0,0.0
2131000771111+00+00,0.0,0.0,0.0,0.0,0.0,0.0
0013100071111+00+00,0.0,0.0,0.0,0.0,0.0,0.0
1111103200100+04+01,-4.976,-7.423,-7.728,-10.582,-4.866,-7.073
1103110101203+02+00,-5.061,-4.365,0.0,0.0,0.0,0.0
1103110101203+03+00,-5.071,-6.141,0.0,0.0,0.0,0.0
3101117021717+01+02,-3.05,0.0,0.0,0.0,0.0,0.0
1111200111012+02-01,-0.546,-0.866,-6.819,-7.716,-20.23,-6.867
1001010110210+01-01,-0.508,-1.876,-2.778,-0.781,-0.709,-6.388
1111020010103+01-01,-4.351,-4.36,-4.374,0.0,0.0,0.0
1001010113210+00-02,-4.464,-4.47,-4.486,-4.49,-1.243,-7.33
1111200111017+01-02,-4.968,0.0,0.0,0.0,0.0,0.0
1111020010107+01-01,-5.017,0.0,0.0,0.0,0.0,0.0
1111020013107+01-01,-5.026,-5.043,0.0,0.0,0.0,0.0
1111020013100+01-01,-5.05,-5.317,-6.065,-7.353,0.0,0.0
1111020013100+02-01,-5.068,-5.332,-7.383,-2.873,-5.806,0.0
1111020013100+03-01,0.0,0.0,-5.071,0.0,0.0,0.0
1111020016100+03-01,-5.743,-5.755,-5.764,0.0,0.0,0.0
1111703111010+03-02,-5.881,0.0,0.0,0.0,0.0,0.0
1111070317100+04-01,-5.94,0.0,0.0,0.0,0.0,0.0
1111007031717+04-01,-3.0,0.0,0.0,0.0,0.0,0.0
0101023111010+02-04,-9.796,-6.68,-10.343,-4.137,-10.306,-6.939
1001010112310+03-04,-11.417,-5.932,-5.94,-5.953,-25.306,-6.256
1111000111013+04-04,-5.997,-6.093,0.0,0.0,0.0,0.0
1001010112610+03-04,-6.368,-6.379,-6.392,-6.401,0.0,0.0
1111000111016+04-04,-6.449,-8.037,0.0,0.0,0.0,0.0
1111000010102+01-03,-11.143,-14.369,-23.343,-22.137,-15.018,-17.522
1111000001010+00-02,-6.941,-6.107,-12.995,-12.031,-6.902,-7.002
1111100003102+01-01,-7.04,-0.75,-3.427,-12.941,0.0,0.0
1111100006102+03-01,-10.988,-11.07,-11.102,-10.961,-11.334,-5.811
1111700001010+03-02,-5.881,-1.503,-7.39,0.0,0.0,0.0
1111170007102+04-01,-5.94,-7.938,0.0,0.0,0.0,0.0
1111203111010+04-04,-7.067,-12.878,-9.272,-8.302,-6.974,0.0
1111020310102+04-02,-24.679,-13.031,-12.958,-56.186,-48.624,-64.894
1111020610102+04-02,-15.5,-23.296,-23.324,-23.354,-23.43,-51.227
1111027710172+04-02,-3.05,-3.05,-3.0,0.0,0.0,0.0
1100113101020+00+04,-19.645,-5.87,-11.214,-15.203,-72.334,-91.425
2010100301111+00+01,-6.568,-7.037,-2.733,-1.544,-4.763,-8.51
7101110031111+00+03,-6.635,0.0,0.0,0.0,0.0,0.0
7101110031111+00+04,-6.663,-1.45,-1.447,-8.118,0.0,0.0
1100110101023+03+04,-6.999,-7.023,0.0,0.0,0.0,0.0
0101110201610+02+04,-7.845,-7.878,-7.98,0.0,0.0,0.0
0101110201610+00+04,-7.988,-8.063,-8.097,-7.645,-30.735,0.0
0101110201610-01+04,-15.759,-14.673,-14.733,-14.794,-15.876,-23.142
0101110201610-02+04,-8.054,-8.086,-8.118,0.0,0.0,0.0
0101110201610-02+03,-8.086,-14.72,-14.78,-14.841,-8.068,-44.765
0101110201610-02+02,-8.118,0.0,0.0,0.0,0.0,0.0
0101117201717-01+02,-3.05,-3.0,-3.05,-3.0,0.0,0.0
1001210112210-01-02,-5.186,-5.2,-6.93,-5.577,0.0,0.0
1001213112210-01-04,-9.09,-10.386,-5.298,-5.314,-6.565,-7.87
1111600111612+00-04,-5.791,-5.93,0.0,0.0,0.0,0.0
1111060012162+00-03,-5.849,-5.861,-5.871,0.0,0.0,0.0
1111770111612+00-04,-5.94,0.0,0.0,0.0,0.0,0.0
1111777014162+01-03,-3.0,0.0,0.0,0.0,0.0,0.0
1111000312102+02-03,-7.965,-0.523,-2.767,-6.984,0.0,0.0
1111000031212+00-02,-8.068,0.0,0.0,0.0,0.0,0.0
1111130000120+00-01,-8.143,0.0,0.0,0.0,0.0,0.0
1111300061212+02-02,-7.967,0.0,-8.019,0.0,0.0,0.0
1111007712172+02-03,-3.0,0.0,0.0,0.0,0.0,0.0
0101023111010+01-04,-5.708,-11.529,-10.877,-10.086,-7.283,-6.89
0231210110011+00-04,-32.836,-23.742,-19.733,-32.848,-38.065,-20.757
2210770011111-02-03,-5.94,-7.829,-12.787,-18.828,-5.821,-5.881
0121777001111-02-01,-3.0,0.0,0.0,0.0,0.0,0.0
0201210110311-01-02,-7.274,-5.11,-5.234,-6.914,-2.41,-6.698
0201210110311-01-03,-7.305,-1.334,-1.298,-7.72,-39.13,-4.021
0201210110311-01-04,-7.719,-7.752,-1.37,-2.954,-42.886,-7.335
0101020111013+02-04,-7.458,-7.913,-11.762,-10.78,-48.661,-9.214
0101020111013+02-01,-5.41,-7.701,0.0,0.0,0.0,0.0
0201210110611+01-01,-7.72,-7.752,-7.848,-7.877,-15.037,0.0
0201210110611+01-02,-7.784,-7.815,-5.897,-5.909,-28.204,0.0
0101020111016+02-02,-7.957,-11.741,-5.086,-5.093,-28.137,0.0
0101020111717+02-02,-7.889,-7.92,-5.967,-6.57,0.0,0.0
1001010112210+03-03,-98.732,-24.669,-26.708,-22.207,-91.312,-25.884
1001010112210+03-04,-6.437,-13.722,-10.978,-11.247,-15.719,-20.237
1001010112210+02-04,-20.34,-32.876,-31.095,-29.211,-68.956,-18.162
1111003111012+03-02,-7.638,-12.605,-18.16,-18.128,-26.234,-10.963
1111000310102+02-01,-15.752,-16.937,-16.974,-4.686,-29.337,-9.433
1111000031013+02+00,-1.125,-6.804,0.0,0.0,0.0,0.0
1111000031013+04-01,-5.995,0.0,0.0,0.0,0.0,0.0
1111000031013+03+02,-6.159,0.0,0.0,0.0,0.0,0.0
1111000031013+04+01,-6.252,0.0,0.0,0.0,0.0,0.0
1111000771016+04+01,-6.669,0.0,0.0,0.0,0.0,0.0
1111100070177+04+02,-6.737,0.0,0.0,0.0,0.0,0.0
1100110171070+02+00,-6.837,-7.489,-7.639,-1.799,-0.999,0.0
1100113101300+01+02,-13.861,-7.003,-7.033,-10.119,-79.567,-54.215
1100113101300+01+03,-13.902,-7.123,0.0,0.0,0.0,0.0
1100113101300+00+02,-7.185,-7.211,-7.244,-7.27,0.0,0.0
1111110001313+01+02,-7.341,-7.373,-7.399,0.0,0.0,0.0
1111100003100+01+01,-7.475,-7.777,-2.106,0.0,0.0,0.0
1111110001616+01+02,-7.549,-7.58,-15.196,0.0,0.0,0.0
1111100006100+01+01,-7.684,-8.022,-5.829,0.0,0.0,-7.841
1111170007107+01+01,-7.92,-5.979,0.0,0.0,0.0,0.0
7140113101001-03+01,-7.358,-7.39,0.0,0.0,0.0,0.0
4131110001111-04+01,-7.463,-7.492,-7.524,-5.446,-14.242,0.0
4161110001111-03+00,-15.473,-7.878,-7.907,0.0,0.0,0.0
0710170001111-03-01,-7.92,-1.44,-1.426,-7.799,-22.767,0.0
2022010100001-03+02,-0.513,-8.169,0.0,0.0,0.0,0.0
2022010100001-03+01,-0.474,-0.497,-1.403,-0.643,-2.041,-8.58
2022010100001-03+00,-0.441,0.0,0.0,0.0,0.0,0.0
2022010100001-03-01,-0.401,0.0,0.0,0.0,0.0,0.0
2022010100001-03-02,-0.364,-0.327,-1.511,-4.477,-12.579,0.0
0201010110311+00+00,-0.05,0.0,0.0,0.0,0.0,0.0
0201010110611+00+00,0.0,0.0,0.0,0.0,0.0,0.0
2012100201111-04-01,-17.351,-17.101,-16.134,-20.544,-14.128,-15.857
6101110021111+00+00,-0.05,-0.05,0.0,0.0,0.0,0.0
0101063111111-01-02,-0.637,-7.58,0.0,0.0,0.0,-7.506
0101066111111-01-02,-0.613,-0.581,-0.55,-0.521,-37.103,0.0
0101000111016+01-02,-5.464,-7.926,-7.957,0.0,0.0,0.0
0010200010177+01-01,-0.521,0.0,0.0,0.0,0.0,0.0
0101020001017+01+00,-0.55,0.0,0.0,0.0,0.0,0.0
0101020001317+01+00,-0.553,0.0,0.0,-0.554,0.0,0.0
1000010102003+01+00,-0.583,0.0,0.0,0.0,0.0,0.0
1000010102003+01+01,-0.581,-0.583,-0.673,-0.677,0.0,0.0
0101020001310+00+01,-0.583,-0.646,-0.643,-0.644,0.0,0.0
1111000010100+00+01,-12.839,-1.419,-7.484,-7.43,-4.342,-6.815
1111130000102+02+03,-0.696,-0.702,-1.737,-6.754,-7.331,-7.462
1111300031010+02+02,-1.187,0.0,0.0,0.0,0.0,0.0
1111300061010+02+02,-1.229,-0.877,0.0,0.0,0.0,0.0
1007010172000+01+02,-4.042,0.0,0.0,0.0,0.0,0.0
1007010172000+02+02,-5.863,0.0,0.0,0.0,0.0,0.0
1007010172000+03+02,-5.888,0.0,0.0,0.0,0.0,0.0
1007010172000+03+01,-5.918,-1.026,0.0,0.0,0.0,0.0
1000010102000+03+00,-5.947,-4.619,-5.902,0.0,0.0,0.0
1000010102000+03-01,-5.972,-0.683,-3.885,-3.897,-53.771,-1.985
0101020001010+01-02,-3.864,-5.649,-1.766,-0.066,0.771,0.0
0101020001010+00-02,-6.023,-1.372,-6.755,-5.782,-44.661,0.0
0101320001010+00-02,-6.053,0.0,0.0,0.0,0.0,0.0
0101320001010+01-02,-6.081,0.0,0.0,0.0,0.0,0.0
0101320001010+02-02,-6.104,-6.137,-1.945,-1.997,0.0,0.0
0200010100001+01-02,-6.199,-6.22,-4.426,-1.701,-4.867,-6.695
7710100301111+00-01,-7.393,0.0,0.0,0.0,0.0,0.0
7710130301111+00-01,-7.425,-7.46,0.0,0.0,0.0,0.0
0010130301111+00-01,-7.492,0.0,0.0,0.0,0.0,0.0
0010130301111-01-01,-7.526,0.0,0.0,0.0,0.0,0.0
0010130301111-02-01,-7.558,-7.593,-7.624,-7.658,-22.717,-41.141
0010130601111-02-01,-7.922,-7.955,-7.988,-8.021,0.0,0.0
0010160601111-02-01,-8.054,-8.086,-8.118,-5.99,0.0,0.0
0017167771111-02-01,-3.05,-3.05,-3.0,0.0,0.0,0.0
1111103200102+03+03,-22.378,-48.039,-17.693,-23.932,-86.2,-70.724
1111110621012+02+04,-4.196,-7.272,-7.498,-7.524,-47.215,0.0
1111110621012+02+03,-16.976,-9.947,-29.079,-29.052,-15.619,-47.54
1106110101220+01+03,-4.249,-7.566,-7.596,-7.629,-15.518,-1.093
1106110101220+01+04,-4.262,-6.311,-1.161,-7.418,-6.763,0.0
1177110101220+00+04,-9.261,-5.789,-5.826,-7.97,-18.028,-13.025
1100113101220-01+04,-5.447,-9.589,-15.921,-6.195,-13.089,-10.101
1100116101220-01+03,-7.152,-7.203,-7.178,-7.229,-7.398,-5.454
1100116101220-01+02,-5.508,-7.471,0.0,0.0,0.0,0.0
1100116101220-01+01,-5.516,0.0,0.0,0.0,0.0,0.0
1100116101220-01+00,-5.524,-5.53,0.0,0.0,0.0,0.0
1130116101220-01+00,-5.538,0.0,0.0,0.0,0.0,0.0
1130116101220-01+01,-5.544,0.0,0.0,0.0,0.0,0.0
1177117101720-01+02,-3.05,-3.0,0.0,0.0,0.0,0.0
2010103231111+00+03,-6.668,-6.352,-9.013,-2.424,-7.983,-2.155
2101110671111-01+04,-8.086,-7.937,-8.688,-7.925,-8.001,-30.542
2101117771111-03+04,-6.07,-3.05,-5.97,-5.97,-5.97,-5.97
0120110101001-02+02,-6.596,-6.625,-12.654,-9.826,-1.926,-8.562
2101110021111-03+02,-12.353,-7.531,-7.558,-13.579,-6.489,-6.64
2101116021111-04+01,-7.752,-7.785,-7.815,-7.965,-30.209,0.0
0010160201111-04+00,-66.088,-52.809,-51.82,-72.088,-37.56,-58.236
0010160201111-03-01,-15.995,-8.068,-7.69,-7.723,-37.799,0.0
0710177201111-03-01,-3.0,-3.05,-3.05,-3.05,-3.0,0.0
1111020013100+02+00,-5.345,-5.357,-5.372,-5.15,-52.86,-8.566
1111203111010+02-01,-5.572,-4.37,-5.599,-3.167,-3.436,-6.849
1111020313100+02+00,-5.686,-11.938,-5.711,-20.857,-60.155,-5.631
1111020316100+02+00,-5.721,-5.734,-5.744,-5.812,-11.585,-5.755
1111070317100+02+00,-5.94,0.0,0.0,0.0,0.0,0.0
1111007031717+02+02,-3.0,0.0,0.0,0.0,0.0,0.0
0101223111010+00-04,0.238,-7.055,0.0,0.0,0.0,0.0
0231010110011-01-03,0.278,-0.071,0.0,0.0,0.0,0.0
2101000001111-02-01,-5.765,-5.831,-13.337,-6.753,-56.605,-14.9
7017000011111-02-02,-0.898,0.0,0.0,0.0,0.0,0.0
0013000311111-02+01,-0.766,-4.711,0.0,0.0,0.0,0.0
0000010130001-01+01,-0.785,-2.803,0.0,-0.783,0.0,0.0
1000010100000+01+01,-0.839,-0.83,-9.791,-6.294,-6.42,0.0
1111110001310+00+01,-91.011,-21.388,-30.615,-18.582,-72.009,-52.52
1111110301310+00+01,-7.043,-7.946,-8.389,-7.407,-7.895,-7.707
1111110301310+00+02,-7.981,-8.42,-7.441,-7.067,-7.969,0.0
1111110301310+01+02,-22.11,-29.116,-23.354,-23.408,-55.36,-27.31
1111110301610+01+02,-7.829,-7.862,-7.893,-7.926,-15.814,-50.902
1111110601610+01+02,-8.118,-11.803,-5.896,-5.909,-11.779,-28.204
1111117601717+01+02,-3.05,-3.0,0.0,0.0,0.0,0.0
3101110021010+02+00,-6.806,0.0,0.0,0.0,0.0,0.0
3101110021010+01+00,-6.828,-6.863,-34.367,0.0,0.0,-7.168
0010100200103+01-01,-34.715,-7.72,-7.736,-7.753,-32.083,0.0
6101110021010+01+00,-7.69,-7.722,-19.189,-14.96,-7.083,0.0
0010100200106+01-01,-15.636,-8.028,-8.042,-8.063,-28.164,0.0
1177117101000+02+00,-6.07,-3.0,0.0,0.0,0.0,0.0
0122113121001-03+03,-11.242,-11.28,-26.961,-12.913,-73.224,-90.173
2612100001111-04+02,-7.253,-6.365,-6.391,-7.988,-46.922,0.0
1100113101203+02+00,-7.61,-6.532,-10.408,-6.39,-23.515,0.0
1100113101203+03+00,-6.562,-4.929,-7.636,-10.434,-6.809,0.0
1100113101203+03+01,-32.486,-45.415,-38.362,-25.53,-67.332,-60.31
2101113021111-02+02,-7.136,-7.198,-7.201,0.0,0.0,-7.166
2101113021111-01+02,-7.231,-7.26,-7.295,-7.169,0.0,0.0
0122110101301+00+02,-7.239,0.0,0.0,0.0,0.0,0.0
0122110131301+00+02,-7.269,0.0,0.0,0.0,0.0,0.0
0122110131301-01+02,-7.303,0.0,0.0,0.0,0.0,0.0
0122110131301-02+02,-7.334,-7.367,-7.397,-7.429,-36.188,-7.846
0122110131601-02+02,-7.922,-7.955,-7.988,0.0,0.0,0.0
0122110161601-02+02,-8.021,-8.054,-8.086,-8.118,0.0,0.0
0122117161771-02+02,-3.05,0.0,0.0,0.0,0.0,0.0
0012103201111-04+03,-5.045,-16.738,-16.938,-17.08,-16.695,-15.575
0001010110311-03-03,-61.13,-75.773,-22.565,-23.418,-29.098,-32.274
0101200111016-02-03,-7.737,-15.089,-1.353,-1.378,-42.596,-50.677
0010020010100-02-02,-10.271,-56.225,-14.787,-10.233,-36.785,-15.629
0001017117711-03-03,-3.05,-3.0,-3.05,-5.97,-3.0,0.0
0122110121061-02+04,-22.666,-20.315,-7.299,-37.731,-7.183,-7.325
2101110601111-01+04,-3.185,-7.862,-7.895,-7.926,-7.925,-5.458
2101110601111+00+04,-3.168,-7.83,-5.511,0.0,0.0,0.0
0101113021010+02+03,-6.702,-6.733,-6.747,-3.017,-7.427,-2.454
0130110121001+01+03,-10.084,-10.125,-14.359,-7.005,-7.352,-86.067
2121000001111+00+01,-13.997,-7.293,-7.067,-2.461,-3.89,-3.014
2121000071111+00+01,-7.324,0.0,0.0,0.0,0.0,0.0
6101110031111+00+04,-7.719,-7.752,-7.784,-11.435,0.0,0.0
7171110031111+00+04,-7.908,-7.938,-13.173,-7.97,0.0,0.0
7177117121001+01+04,-3.05,0.0,0.0,0.0,0.0,0.0
1111300001210+02+02,-6.862,0.0,0.0,0.0,0.0,0.0
1111300001210+03+02,-7.777,-7.001,-7.487,-6.713,-51.343,0.0
1111300001210+04+02,-27.911,-7.422,0.0,0.0,0.0,0.0
1111600001210+04+02,-7.614,-7.83,-7.86,-7.793,0.0,0.0
1111000012100+04+01,-7.939,-7.04,-5.357,-4.219,-5.148,-3.908
1111770001210+04+02,-7.92,-6.243,0.0,0.0,0.0,0.0
1111177007120+04+03,-3.0,0.0,0.0,0.0,0.0,0.0
2010000611111-03+01,-5.479,-1.121,-1.111,-1.078,-2.309,-57.606
2017007711111-02+01,-3.0,-3.05,0.0,0.0,0.0,0.0
2101113021111-02+03,-7.134,-7.167,-6.946,-9.578,0.0,0.0
2101113021111-02+01,0.0,0.0,0.0,-7.242,0.0,0.0
0123110121301-01+03,-7.406,-7.442,-7.472,-7.507,-36.556,-47.103
0123110121601-01+03,-7.922,-7.955,-7.988,-8.021,0.0,0.0
0126110121601-01+03,-8.054,-8.086,-8.118,-7.846,-7.878,0.0
0126117121771-01+03,-3.05,0.0,0.0,0.0,0.0,0.0
1160110121020+03+02,-8.086,-3.83,0.0,0.0,0.0,0.0
1160110121020+03+01,-8.118,0.0,0.0,0.0,0.0,0.0
1177117121020+03+00,-3.05,0.0,0.0,0.0,0.0,0.0
0100110101031+01+01,-8.827,-7.107,-3.069,0.0,0.0,0.0
1111130200122+04+03,-19.422,-7.188,-7.165,-7.954,-7.653,-18.823
1111130200122+04+02,-50.369,-45.394,-62.613,-62.835,-54.568,-43.531
1111160200122+04+02,-37.911,-37.418,-30.824,-38.314,-23.483,-51.41
1111177207122+04+02,-3.0,-3.05,-3.05,-3.05,-3.0,0.0
1100113121000-01+00,-0.854,-4.988,-7.018,0.0,0.0,-5.051
1130113121000-01+00,-0.827,-5.102,-7.045,0.0,0.0,0.0
1130113121000-01+01,-0.793,-4.16,-7.006,-7.071,0.0,0.0
1130116121000-01+02,-0.848,-7.48,0.0,0.0,0.0,0.0
1160116121000-01+02,-0.848,-0.815,0.0,0.0,0.0,0.0
6161110021010-02+02,-26.663,-8.572,-11.815,-34.419,-11.897,-17.577
0012100220123+02+02,-2.032,-1.095,-1.099,-1.067,-1.027,0.0
0012100220126+02+02,-2.12,0.0,0.0,0.0,0.0,0.0
0101110021717+02+03,-19.83,-7.97,-12.84,-9.386,-22.911,-13.515
0101113021717+02+04,-0.959,-5.99,0.0,0.0,0.0,0.0
0101113021717+01+04,-0.923,-7.92,0.0,0.0,0.0,0.0
0101113021717+00+04,-0.92,0.0,0.0,0.0,0.0,0.0
0101113021010-01+04,-31.522,-7.276,-12.361,-8.676,-18.33,-52.183
0130110121001-03+02,-4.286,-3.867,-42.509,-42.502,-47.968,-3.51
3101110001111-04+04,-4.473,-2.501,-8.542,-8.411,-9.44,-61.181
0160110121001-03+04,-4.54,-4.541,-7.846,-7.878,-23.43,0.0
6101110001111-04+04,-4.582,-4.594,-4.6,-7.936,-42.193,0.0
7712100001111-04+03,-9.019,-5.911,0.0,0.0,0.0,0.0
0012103001111-01+03,-0.373,-4.619,-7.104,-2.241,-0.054,-4.854
0012103001111+00+03,-4.901,-4.626,-7.04,-5.731,-6.104,-1.905
1100110141000+03+04,-4.906,-4.91,-0.766,0.0,0.0,0.0
0031210110011-03-03,-1.462,-1.423,-14.135,-7.754,-2.21,-7.147
0061210110011-03-03,-1.433,-1.428,0.0,0.0,0.0,0.0
6101000111111-04-03,-1.452,-5.085,-7.324,-10.192,-3.817,-0.969
6101000111111-04-04,-1.043,0.0,0.0,0.0,0.0,-5.1
6101000111111-03-04,-5.145,-16.643,-9.555,-9.342,-43.499,-2.128
7171000111111-03-04,-5.191,-7.908,-7.938,-7.97,-2.068,0.0
0001210110311-01-03,-5.187,-7.47,-0.512,-0.513,0.0,0.0
0001210110311-01-04,-5.198,-0.545,0.0,0.0,0.0,0.0
0001210110611-02-04,-11.251,-11.293,-11.339,-11.383,-51.227,-12.617
0101200111016-01-04,-5.933,-10.29,-10.577,-10.621,-7.939,-54.02
0010620012100-01-03,-5.991,-6.003,0.0,0.0,0.0,0.0
0010620012177-01-03,-5.919,-5.93,0.0,0.0,0.0,0.0
0010740012177-01-03,-5.94,0.0,0.0,0.0,0.0,0.0
0101777001210-02-02,-3.0,0.0,0.0,0.0,0.0,0.0
2210300311111-01-03,-7.015,0.0,0.0,0.0,0.0,0.0
2210600611111-01-03,-22.82,0.0,0.0,0.0,0.0,0.0
2217607711111-01-03,0.0,0.0,0.0,0.0,0.0,-3.0
1100110121220-01+01,-5.171,-6.924,-0.486,-6.086,-11.732,0.0
1100110121220-01+00,-5.186,-5.195,-6.953,-6.292,-1.123,-0.429
1130110121220-01+00,-5.212,-7.016,0.0,0.0,0.0,0.0
1130110121220-01+01,-5.222,-7.045,-5.312,-5.33,-8.305,0.0
1160110121220-01+02,-5.826,-5.839,-5.849,-5.86,-17.437,-3.154
1177117121220-01+02,-3.05,0.0,0.0,0.0,0.0,0.0
2101113301111+00+01,-11.603,-9.843,-11.624,-7.296,-7.743,-7.334
0120110121631+01+03,-18.218,-6.409,-18.232,-12.653,-6.533,-12.925
1111103770102+01+03,-7.631,-5.979,-5.99,-7.735,0.0,0.0
1111110371012+01+04,-7.705,-7.631,-7.773,-7.808,0.0,0.0
1111110601012+01+04,-15.255,-6.47,-8.068,-8.068,-1.811,-32.179
1111110601012+00+04,-7.83,0.0,0.0,0.0,0.0,0.0
1111130000100+04+01,-15.626,-20.049,-9.516,-11.794,-7.899,-8.062
1111300001012+02+02,-7.311,0.0,0.0,0.0,0.0,0.0
1111130030100+00+02,-7.416,-7.977,0.0,0.0,0.0,0.0
1111130030100+00+01,-7.447,-8.006,0.0,0.0,0.0,0.0
1111160030100+01+01,-7.769,-7.957,-7.798,-7.987,-8.019,-36.087
1111600301012+01+00,-7.878,0.0,0.0,0.0,0.0,0.0
1111177037100+01+01,-3.0,0.0,0.0,0.0,0.0,0.0
1031010110010+01-03,-1.029,-5.199,-7.578,-6.792,-4.013,-5.285
3101000111010+01-02,-1.532,-5.374,-7.844,-7.877,0.0,0.0
0010000013100+00-01,-1.036,0.412,0.0,0.0,0.0,0.0
0010000013100-01-01,-1.003,-2.686,-4.509,0.0,0.0,0.0
0101000001312-01+00,-1.027,-5.947,0.0,0.0,0.0,0.0
0010100000130-01+01,-1.021,-7.155,-7.184,0.0,0.0,0.0
0130110161001-02+02,-0.805,-0.913,-7.827,0.0,0.0,0.0
