circle_5_10,0,1,2,3,4,5
0012100001111-02+00,-55.909,-12.394,-23.595,-10.965,-21.395,-5.581
0101110001111-02+01,-46.072,-31.219,-55.875,-1.245,-75.724,-28.747
0101110001111-02+00,-13.488,-26.038,-48.324,-25.365,-55.773,-28.064
0101110001111-03+00,-25.591,-51.723,-23.953,-50.131,-41.999,-62.685
3012100001111-03-01,-29.086,-6.377,-10.182,4.093,-6.854,0.0
6012100001111-03-01,-13.257,4.546,-5.972,4.613,-37.022,0.0
0101113001111-03+00,-32.599,-30.246,-20.924,-29.315,-35.772,-67.943
7012130001111-03-01,-7.127,0.0,0.0,0.0,0.0,0.0
7012130001111-04-01,-7.157,-8.631,0.0,0.0,0.0,0.0
7012130001111-04+00,-7.189,-8.665,0.0,0.0,0.0,0.0
7012130001111-04+01,-7.219,-8.698,0.0,0.0,0.0,0.0
0012130001111-04+02,-27.456,-21.063,-9.985,-66.242,-41.47,-59.655
0012130001111-04+03,-12.618,-13.528,-27.342,-15.722,-13.78,-12.445
0012130001111-03+03,-72.84,-32.491,-16.623,-24.238,-64.733,-53.515
0012130001111-02+03,-7.384,-7.414,-11.916,-15.026,-7.085,-14.474
0012130001111-01+03,-13.495,-7.466,-39.576,-11.761,-14.754,-7.423
0012130001111+00+03,-16.529,-7.508,-7.537,-7.497,-13.054,-7.492
0121600001111+00+02,-7.614,-7.83,-7.86,0.0,0.0,0.0
0012160001111+00+03,-7.691,-7.721,-7.752,-7.799,0.0,0.0
2210000011111+00+01,-7.552,-0.485,-7.834,-14.542,-3.331,-4.734
0121770001111+00+02,-7.92,0.0,0.0,0.0,0.0,0.0
0712177001111+00+03,0.0,0.0,0.0,0.0,0.0,-3.0
0101200111111-04+00,-29.222,-25.753,-27.735,-10.685,-27.41,-28.977
0101200111111-03+00,-18.416,-57.67,-47.203,-22.336,-30.577,-28.294
0010020011111-02+01,-6.76,-6.692,-6.967,-6.741,-6.332,-6.685
0010020011111-01+01,-0.59,-0.554,0.0,0.0,0.0,0.0
0013020011111-01+01,-0.522,-5.168,0.0,0.0,0.0,0.0
0013020011111+00+01,-1.284,-1.461,-1.004,-1.388,-1.736,-1.236
0013023011111+00+01,-1.148,-0.951,-1.12,-1.264,-1.88,-1.633
0016023011111+00+01,-0.28,-0.412,-0.458,-0.393,-0.372,-0.285
0017023711111+00+00,-0.05,-0.05,0.0,0.0,0.0,0.0
1111110021012+00+04,-36.178,-35.864,-28.891,-35.629,-37.76,-35.464
1111110021012+01+04,-51.065,-45.704,-52.659,-57.1,-53.53,-43.839
1111110021012+02+04,-27.723,-19.69,-18.823,-18.786,-20.127,-19.81
1111113021012+02+03,-7.133,-7.291,-13.939,-24.781,-74.947,-20.209
1111113021012+02+02,-7.164,-7.651,0.0,0.0,0.0,0.0
1111113021012+02+01,0.0,-7.197,0.0,0.0,0.0,0.0
1130110101200+01+01,-7.427,-7.461,-7.491,-7.524,-22.328,-19.09
1130110101230+01+01,-7.345,-7.29,0.0,0.0,0.0,0.0
1130110101230+01+02,-7.374,-7.323,0.0,0.0,0.0,0.0
1130110101230+02+02,-7.409,-7.439,-7.472,-20.382,-29.592,-54.051
1160110101230+02+02,-7.876,-7.909,-7.942,-7.973,-22.768,0.0
1160110101260+02+02,-8.005,-8.118,-7.925,-7.957,-15.876,-8.037
1177117101260+02+02,-3.05,-3.05,0.0,0.0,0.0,0.0
0101110001111-04+00,-37.323,-27.499,-41.053,-16.247,-72.4,-26.506
0100110101301-01+00,-20.811,-26.506,-18.803,-27.024,-65.722,-14.075
0100110101301-01+01,-27.249,-27.384,-20.681,-18.883,-29.433,-85.197
0103110101301-01+01,-7.26,-7.256,0.0,0.0,0.0,0.0
0103110101301-01+00,-7.292,-7.289,0.0,0.0,0.0,0.0
0103110101301-02+00,-15.814,-19.34,-19.364,-21.32,-22.462,-35.616
0101110321013-01+00,-33.182,-22.537,-18.13,-47.258,-35.181,-26.605
0103110101601-02+00,-7.83,-7.862,-7.894,-7.926,0.0,0.0
0101110621016-01+00,-19.632,-20.718,-34.753,-13.78,-17.269,-13.717
0106110101601-02+00,-8.118,-11.606,-11.63,-11.653,-30.542,-7.703
0106117101771-02+00,-3.05,-3.0,0.0,0.0,0.0,0.0
2101110001111-04+04,-27.439,-33.096,-26.565,-27.093,-29.562,-16.902
2101110001111-04+03,-57.997,-28.645,-57.658,-43.635,-40.107,-81.246
2012100001111-04+03,-16.928,-24.58,-10.763,-13.416,-19.46,-18.127
2101110001111-03+04,-41.687,-32.509,-52.14,-39.406,-56.014,-16.043
2012100001111-03+03,-53.252,-13.414,-39.135,-62.437,-44.181,-16.441
2121000001111-03+02,-25.61,-72.807,-31.336,-67.599,-97.385,-90.979
2121000001111-04+02,-7.952,-8.585,-10.227,-9.551,-18.33,-11.286
2012100001111-04+02,-22.047,-3.844,-57.882,-111.344,-48.001,-59.79
0122110121001-03+03,-36.96,-28.826,-37.036,-33.546,-57.066,-25.69
2101113001111-04+03,-27.598,-25.408,-11.172,-23.636,-89.929,-83.25
2012130001111-04+02,-21.673,-17.157,-34.948,-50.185,-59.551,-20.678
2121300001111-04+00,-7.508,0.0,-7.076,0.0,0.0,0.0
2210000011111-04-02,-49.744,-63.777,-17.374,-36.925,-44.709,-33.503
2121300001111-04-02,-7.22,-1.423,-7.128,-8.59,-3.22,0.0
2012130001111-03-01,-12.563,-14.211,-8.567,-70.512,-16.197,-29.892
2012130001111-04-01,-9.445,-12.596,-27.117,-7.279,-29.12,-8.628
2012130001111-04+00,-34.797,-30.379,-14.719,-30.005,-47.653,-61.87
2121600001111-04-01,-15.238,-26.834,-22.621,-40.991,-22.831,-6.332
2012160001111-04+00,-31.805,-37.788,-17.903,-23.671,-44.001,-37.56
2210700011111-04-02,-12.857,-6.93,-11.717,-23.108,-12.569,-11.37
2121770001111-04-01,-7.92,-7.889,-3.812,-6.176,-18.902,-7.841
2712177001111-04+00,-3.0,-3.05,-3.0,-3.05,-3.0,-3.0
2210020011111-04+00,-23.629,-38.195,-75.502,-23.902,-29.015,-23.11
2210020011111-04+01,-14.749,-12.426,-16.628,-12.606,-29.864,-19.517
2210020011111-03+01,-20.177,-26.241,-23.455,-28.238,-67.209,-26.274
2101200111111-03+00,-30.455,-40.713,-92.339,-38.372,-101.939,-39.732
2210023011111-03+01,-16.626,-11.961,-19.288,-22.004,-18.153,-76.367
2101230111111-03+00,-22.475,-45.371,-14.253,-24.573,-33.198,-60.204
0221210113011-02+00,-6.752,-6.775,-1.809,-1.895,-8.182,-33.417
2101230111111-04+00,-5.222,-7.483,-16.314,-9.202,-7.866,-10.561
2101260111111-04-01,-66.605,-41.875,-54.163,-38.728,-54.759,-47.637
3221210116011-03-01,-7.399,-7.425,-7.536,-7.569,-36.994,-4.451
2101777111111-04-01,-11.821,-6.07,-6.07,-8.91,-5.97,-8.91
2101110021111-04+04,-33.672,-34.593,-32.163,-33.234,-38.607,-34.249
2101110021111-04+03,-32.782,-35.148,-31.633,-38.721,-39.174,-37.416
0012100201111-04+03,-12.214,-5.722,-8.567,-13.472,-6.287,-6.572
2101110021111-03+04,-96.704,-65.572,-54.29,-36.339,-94.73,-42.517
